country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",06-04-2025,15.34763,76.181767,CO,24,38,35
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",06-04-2025,12.921418,77.502466,NO2,18,21,20
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",06-04-2025,12.921418,77.502466,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",06-04-2025,12.917348,77.622813,SO2,9,11,10
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",06-04-2025,12.21041,76.37376,NH3,3,6,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",06-04-2025,12.21041,76.37376,CO,6,34,16
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",06-04-2025,13.377516,77.099072,NO2,18,19,18
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",06-04-2025,13.377516,77.099072,SO2,5,7,6
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",06-04-2025,13.377516,77.099072,CO,56,58,57
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",06-04-2025,16.7602,77.1428,NO2,32,57,45
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",06-04-2025,8.5149093,76.9435879,PM2.5,8,51,21
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",06-04-2025,8.5149093,76.9435879,OZONE,7,41,16
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",06-04-2025,10.5324,76.2159,SO2,1,1,1
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",06-04-2025,23.264759,77.381568,PM10,68,119,88
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",06-04-2025,10.073232,76.302765,OZONE,12,25,14
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",06-04-2025,8.8787,76.6073,NH3,1,1,1
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",06-04-2025,8.8787,76.6073,SO2,1,3,2
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",06-04-2025,23.210494,77.425409,NO2,14,100,41
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",06-04-2025,23.210494,77.425409,NH3,2,10,4
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",06-04-2025,23.210494,77.425409,CO,8,44,21
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",06-04-2025,8.5637,76.8865,PM2.5,39,45,43
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",06-04-2025,8.5637,76.8865,NO2,6,7,7
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",06-04-2025,10.073232,76.302765,PM10,42,59,47
